dt x z theta phi_a v_a new_xc new_d_theta phi_t v_t
0.0080 -2.2153 4.8584 2.2018 0.3988 1.5760 0.7153 0.6310 0.3990 2.3980
0.0080 -2.2228 4.8688 2.1976 0.3988 1.5988 0.7228 0.6268 0.3990 2.3980
0.0080 -2.2303 4.8793 2.1933 0.3988 1.6217 0.7303 0.6225 0.3990 2.3980
0.0090 -2.2389 4.8914 2.1884 0.3988 1.6446 0.7389 0.6176 0.3990 2.3980
0.0090 -2.2475 4.9037 2.1835 0.3988 1.6675 0.7475 0.6127 0.3990 2.3980
0.0090 -2.2562 4.9162 2.1785 0.3988 1.6905 0.7562 0.6077 0.3990 2.3980
0.0080 -2.2640 4.9275 2.1740 0.3988 1.7134 0.7640 0.6032 0.3990 2.3980
0.0080 -2.2718 4.9389 2.1694 0.3988 1.7363 0.7718 0.5986 0.3990 2.3980
0.0080 -2.2797 4.9506 2.1648 0.3988 1.7591 0.7797 0.5940 0.3990 2.3980
0.0090 -2.2886 4.9639 2.1595 0.3988 1.7819 0.7886 0.5887 0.3990 2.3980
0.0080 -2.2966 4.9760 2.1547 0.3988 1.8046 0.7966 0.5839 0.3990 2.3980
0.0080 -2.3046 4.9882 2.1499 0.3988 1.8273 0.8046 0.5791 0.3990 2.3980
0.0080 -2.3126 5.0007 2.1450 0.3988 1.8498 0.8126 0.5742 0.3990 2.3980
0.0080 -2.3207 5.0133 2.1401 0.3988 1.8722 0.8207 0.5693 0.3990 2.3980
0.0090 -2.3298 5.0277 2.1345 0.3988 1.8946 0.8298 0.5637 0.3990 2.3980
0.0080 -2.3379 5.0407 2.1294 0.3988 1.9168 0.8379 0.5586 0.3990 2.3980
0.0080 -2.3461 5.0539 2.1243 0.3988 1.9388 0.8461 0.5535 0.3990 2.3980
0.0080 -2.3542 5.0673 2.1192 0.3988 1.9607 0.8542 0.5484 0.3990 2.3980
0.0090 -2.3635 5.0825 2.1133 0.3988 1.9825 0.8635 0.5425 0.3990 2.3980
0.0080 -2.3717 5.0963 2.1080 0.3988 2.0042 0.8717 0.5372 0.3990 2.3980
0.0090 -2.3809 5.1120 2.1020 0.3988 2.0256 0.8809 0.5312 0.3990 2.3980
0.0090 -2.3901 5.1280 2.0960 0.3988 2.0469 0.8901 0.5252 0.3990 2.3980
0.0080 -2.3983 5.1423 2.0905 0.3988 2.0680 0.8983 0.5197 0.3990 2.3980
0.0090 -2.4076 5.1587 2.0843 0.3988 2.0889 0.9076 0.5135 0.3990 2.3980
0.0090 -2.4168 5.1753 2.0781 0.3988 2.1096 0.9168 0.5073 0.3990 2.3980
0.0090 -2.4260 5.1921 2.0718 0.3988 2.1301 0.9260 0.5010 0.3990 2.3980
0.0090 -2.4352 5.2092 2.0654 0.3988 2.1504 0.9352 0.4946 0.3990 2.3980
0.0090 -2.4444 5.2264 2.0589 0.3988 2.1705 0.9444 0.4882 0.3990 2.3980
0.0090 -2.4535 5.2439 2.0525 0.3988 2.1903 0.9535 0.4817 0.3990 2.3980
0.0080 -2.4616 5.2596 2.0466 0.3988 2.2099 0.9616 0.4758 0.3990 2.3980
0.0090 -2.4707 5.2775 2.0400 0.3988 2.2292 0.9707 0.4692 0.3990 2.3980
0.0090 -2.4797 5.2956 2.0334 0.3988 2.2483 0.9797 0.4626 0.3990 2.3980
0.0090 -2.4887 5.3139 2.0266 0.3988 2.2671 0.9887 0.4559 0.3990 2.3980
0.0090 -2.4976 5.3325 2.0199 0.3988 2.2856 0.9976 0.4491 0.3990 2.3980
0.0090 -2.5065 5.3512 2.0131 0.3988 2.3039 1.0065 0.4423 0.3990 2.3980
0.0090 -2.5153 5.3701 2.0062 0.3988 2.3219 1.0153 0.4354 0.3990 2.3980
0.0090 -2.5240 5.3893 1.9992 0.3988 2.3396 1.0240 0.4284 0.3990 2.3980
0.0090 -2.5327 5.4086 1.9923 0.3988 2.3570 1.0327 0.4215 0.3990 2.3980
0.0090 -2.5413 5.4282 1.9852 0.3988 2.3740 1.0413 0.4144 0.3990 2.3980
0.0090 -2.5498 5.4480 1.9781 0.3988 2.3908 1.0498 0.4073 0.3990 2.3980
0.0080 -2.5574 5.4657 1.9718 0.3988 2.4073 1.0574 0.4010 0.3990 2.3980
0.0100 -2.5666 5.4881 1.9638 0.3988 2.4235 1.0666 0.3930 0.3990 2.3980
0.0090 -2.5749 5.5084 1.9566 0.3988 2.4393 1.0749 0.3858 0.3990 2.3980
0.0090 -2.5831 5.5289 1.9493 0.3988 2.4548 1.0831 0.3785 0.3990 2.3980
0.0090 -2.5911 5.5497 1.9420 0.3988 2.4700 1.0911 0.3712 0.3990 2.3980
0.0090 -2.5991 5.5706 1.9346 0.3988 2.4848 1.0991 0.3638 0.3990 2.3980
0.0090 -2.6069 5.5916 1.9272 0.3988 2.4993 1.1069 0.3564 0.3990 2.3980
0.0090 -2.6147 5.6129 1.9198 0.3988 2.5135 1.1147 0.3490 0.3990 2.3980
0.0090 -2.6223 5.6343 1.9123 0.3988 2.5274 1.1223 0.3415 0.3990 2.3980
0.0090 -2.6298 5.6559 1.9048 0.3988 2.5408 1.1298 0.3340 0.3990 2.3980
0.0090 -2.6372 5.6777 1.8972 0.3988 2.5540 1.1372 0.3264 0.3990 2.3980
0.0090 -2.6444 5.6996 1.8896 0.3988 2.5668 1.1444 0.3188 0.3990 2.3980
0.0090 -2.6515 5.7217 1.8819 0.3988 2.5793 1.1515 0.3111 0.3990 2.3980
0.0090 -2.6585 5.7440 1.8743 0.3988 2.5914 1.1585 0.3035 0.3990 2.3980
0.0090 -2.6653 5.7664 1.8665 0.3988 2.6032 1.1653 0.2958 0.3990 2.3980
0.0090 -2.6720 5.7890 1.8588 0.3988 2.6146 1.1720 0.2880 0.3990 2.3980
0.0090 -2.6785 5.8117 1.8510 0.3988 2.6257 1.1785 0.2802 0.3990 2.3980
0.0090 -2.6849 5.8345 1.8432 0.3988 2.6364 1.1849 0.2724 0.3990 2.3980
0.0090 -2.6911 5.8575 1.8354 0.3988 2.6468 1.1911 0.2646 0.3990 2.3980
0.0090 -2.6972 5.8807 1.8275 0.3988 2.6568 1.1972 0.2567 0.3990 2.3980
0.0090 -2.7031 5.9039 1.8196 0.3988 2.6664 1.2031 0.2488 0.3990 2.3980
0.0090 -2.7089 5.9273 1.8117 0.3988 2.6758 1.2089 0.2409 0.3990 2.3980
0.0090 -2.7144 5.9508 1.8037 0.3988 2.6848 1.2144 0.2329 0.3990 2.3980
0.0090 -2.7198 5.9744 1.7957 0.3988 2.6934 1.2198 0.2249 0.3990 2.3980
0.0090 -2.7251 5.9982 1.7877 0.3988 2.7017 1.2251 0.2169 0.3990 2.3980
0.0090 -2.7301 6.0220 1.7797 0.3988 2.7096 1.2301 0.2089 0.3990 2.3980
0.0090 -2.7350 6.0460 1.7716 0.3988 2.7172 1.2350 0.2008 0.3990 2.3980
0.0090 -2.7397 6.0701 1.7636 0.3988 2.7245 1.2397 0.1928 0.3990 2.3980
0.0090 -2.7442 6.0942 1.7555 0.3988 2.7314 1.2442 0.1847 0.3990 2.3980
0.0090 -2.7486 6.1185 1.7474 0.3988 2.7379 1.2486 0.1766 0.3990 2.3980
0.0090 -2.7527 6.1428 1.7392 0.3988 2.7442 1.2527 0.1684 0.3990 2.3980
0.0070 -2.7558 6.1618 1.7329 0.3988 2.7502 1.2558 0.1621 0.3990 2.3980
0.0070 -2.7588 6.1809 1.7265 0.3988 2.7560 1.2588 0.1557 0.3990 2.3980
0.0070 -2.7617 6.2000 1.7202 0.3988 2.7616 1.2617 0.1494 0.3990 2.3980
0.0070 -2.7644 6.2192 1.7138 0.3988 2.7670 1.2644 0.1430 0.3990 2.3980
0.0070 -2.7671 6.2384 1.7074 0.3988 2.7721 1.2671 0.1366 0.3990 2.3980
0.0070 -2.7696 6.2577 1.7010 0.3988 2.7770 1.2696 0.1302 0.3990 2.3980
0.0070 -2.7720 6.2770 1.6946 0.3988 2.7818 1.2720 0.1238 0.3990 2.3980
