dt x z theta phi_a v_a new_xc new_d_theta phi_t v_t
0.0080 0.5244 3.6194 -3.0457 0.3988 2.3983 -2.0244 -4.6165 0.3990 2.3980
0.0080 0.5053 3.6177 -3.0521 0.3988 2.3983 -2.0053 -4.6229 0.3990 2.3980
0.0080 0.4862 3.6161 -3.0584 0.3988 2.3983 -1.9862 -4.6292 0.3990 2.3980
0.0080 0.4671 3.6146 -3.0647 0.3988 2.3983 -1.9671 -4.6355 0.3990 2.3980
0.0080 0.4479 3.6133 -3.0710 0.3988 2.3983 -1.9479 -4.6418 0.3990 2.3980
0.0080 0.4288 3.6120 -3.0773 0.3988 2.3983 -1.9288 -4.6481 0.3990 2.3980
0.0080 0.4096 3.6109 -3.0836 0.3988 2.3983 -1.9096 -4.6544 0.3990 2.3980
0.0080 0.3905 3.6099 -3.0900 0.3988 2.3983 -1.8905 -4.6608 0.3990 2.3980
0.0080 0.3713 3.6090 -3.0963 0.3988 2.3982 -1.8713 -4.6671 0.3990 2.3980
0.0080 0.3521 3.6083 -3.1026 0.3988 2.3982 -1.8521 -4.6734 0.3990 2.3980
0.0090 0.3305 3.6076 -3.1097 0.3988 2.3982 -1.8305 -4.6805 0.3990 2.3980
0.0080 0.3114 3.6071 -3.1160 0.3988 2.3982 -1.8114 -4.6868 0.3990 2.3980
0.0080 0.2922 3.6068 -3.1223 0.3988 2.3982 -1.7922 -4.6931 0.3990 2.3980
0.0070 0.2754 3.6065 -3.1279 0.3988 2.3982 -1.7754 -4.6987 0.3990 2.3980
0.0080 0.2562 3.6064 -3.1342 0.3988 2.3982 -1.7562 -4.7050 0.3990 2.3980
0.0080 0.2370 3.6064 -3.1405 0.3988 2.3982 -1.7370 -4.7113 0.3990 2.3980
0.0080 0.2178 3.6065 -3.1468 0.3988 2.3982 -1.7178 -4.7176 0.3990 2.3980
0.0080 0.1987 3.6067 -3.1531 0.3988 2.3981 -1.6987 -4.7239 0.3990 2.3980
0.0080 0.1795 3.6070 -3.1594 0.3988 2.3981 -1.6795 -4.7302 0.3990 2.3980
0.0080 0.1603 3.6075 -3.1658 0.3988 2.3981 -1.6603 -4.7366 0.3990 2.3980
0.0080 0.1411 3.6081 -3.1721 0.3988 2.3981 -1.6411 -4.7429 0.3990 2.3980
0.0080 0.1219 3.6088 -3.1784 0.3988 2.3981 -1.6219 -4.7492 0.3990 2.3980
0.0080 0.1028 3.6096 -3.1847 0.3988 2.3981 -1.6028 -4.7555 0.3990 2.3980
0.0080 0.0836 3.6105 -3.1910 0.3988 2.3981 -1.5836 -4.7618 0.3990 2.3980
0.0080 0.0645 3.6116 -3.1973 0.3988 2.3981 -1.5645 -4.7681 0.3990 2.3980
0.0080 0.0453 3.6128 -3.2037 0.3988 2.3981 -1.5453 -4.7745 0.3990 2.3980
0.0080 0.0262 3.6141 -3.2100 0.3988 2.3981 -1.5262 -4.7808 0.3990 2.3980
0.0080 0.0070 3.6156 -3.2163 0.3988 2.3981 -1.5070 -4.7871 0.3990 2.3980
0.0080 -0.0121 3.6171 -3.2226 0.3988 2.3981 -1.4879 -4.7934 0.3990 2.3980
0.0080 -0.0312 3.6188 -3.2289 0.3988 2.3981 -1.4688 -4.7997 0.3990 2.3980
0.0080 -0.0503 3.6206 -3.2352 0.3988 2.3981 -1.4497 -4.8060 0.3990 2.3980
0.0080 -0.0694 3.6225 -3.2416 0.3988 2.3981 -1.4306 -4.8124 0.3990 2.3980
0.0080 -0.0885 3.6245 -3.2479 0.3988 2.3981 -1.4115 -4.8187 0.3990 2.3980
0.0080 -0.1075 3.6267 -3.2542 0.3988 2.3981 -1.3925 -4.8250 0.3990 2.3980
0.0080 -0.1266 3.6290 -3.2605 0.3988 2.3981 -1.3734 -4.8313 0.3990 2.3980
0.0080 -0.1456 3.6313 -3.2668 0.3988 2.3981 -1.3544 -4.8376 0.3990 2.3980
0.0080 -0.1646 3.6339 -3.2731 0.3988 2.3981 -1.3354 -4.8439 0.3990 2.3980
0.0080 -0.1836 3.6365 -3.2795 0.3988 2.3981 -1.3164 -4.8502 0.3990 2.3980
0.0080 -0.2026 3.6393 -3.2858 0.3988 2.3980 -1.2974 -4.8566 0.3990 2.3980
0.0080 -0.2216 3.6421 -3.2921 0.3988 2.3980 -1.2784 -4.8629 0.3990 2.3980
0.0080 -0.2405 3.6451 -3.2984 0.3988 2.3980 -1.2595 -4.8692 0.3990 2.3980
0.0080 -0.2595 3.6482 -3.3047 0.3988 2.3980 -1.2405 -4.8755 0.3990 2.3980
0.0080 -0.2784 3.6515 -3.3110 0.3988 2.3980 -1.2216 -4.8818 0.3990 2.3980
0.0080 -0.2973 3.6548 -3.3173 0.3988 2.3980 -1.2027 -4.8881 0.3990 2.3980
0.0080 -0.3161 3.6583 -3.3237 0.3988 2.3980 -1.1839 -4.8945 0.3990 2.3980
0.0080 -0.3350 3.6619 -3.3300 0.3988 2.3980 -1.1650 -4.9008 0.3990 2.3980
0.0080 -0.3538 3.6656 -3.3363 0.3988 2.3980 -1.1462 -4.9071 0.3990 2.3980
0.0070 -0.3702 3.6690 -3.3418 0.3988 2.3981 -1.1298 -4.9126 0.3990 2.3980
0.0070 -0.3867 3.6724 -3.3474 0.3988 2.3981 -1.1133 -4.9181 0.3990 2.3980
0.0070 -0.4031 3.6759 -3.3529 0.3988 2.3981 -1.0969 -4.9237 0.3990 2.3980
0.0070 -0.4195 3.6795 -3.3584 0.3988 2.3981 -1.0805 -4.9292 0.3990 2.3980
0.0080 -0.4382 3.6838 -3.3647 0.3988 2.3981 -1.0618 -4.9355 0.3990 2.3980
0.0080 -0.4569 3.6881 -3.3710 0.3988 2.3981 -1.0431 -4.9418 0.3990 2.3980
0.0080 -0.4755 3.6926 -3.3774 0.3988 2.3981 -1.0245 -4.9482 0.3990 2.3980
0.0080 -0.4941 3.6972 -3.3837 0.3988 2.3981 -1.0059 -4.9545 0.3990 2.3980
0.0080 -0.5127 3.7019 -3.3900 0.3988 2.3981 -0.9873 -4.9608 0.3990 2.3980
0.0080 -0.5313 3.7068 -3.3963 0.3988 2.3981 -0.9687 -4.9671 0.3990 2.3980
0.0080 -0.5498 3.7117 -3.4026 0.3988 2.3981 -0.9502 -4.9734 0.3990 2.3980
0.0080 -0.5683 3.7168 -3.4089 0.3988 2.3981 -0.9317 -4.9797 0.3990 2.3980
0.0080 -0.5868 3.7220 -3.4153 0.3988 2.3981 -0.9132 -4.9860 0.3990 2.3980
0.0080 -0.6053 3.7273 -3.4216 0.3988 2.3981 -0.8947 -4.9924 0.3990 2.3980
0.0080 -0.6237 3.7327 -3.4279 0.3988 2.3981 -0.8763 -4.9987 0.3990 2.3980
0.0080 -0.6420 3.7382 -3.4342 0.3988 2.3981 -0.8580 -5.0050 0.3990 2.3980
0.0080 -0.6604 3.7439 -3.4405 0.3988 2.3981 -0.8396 -5.0113 0.3990 2.3980
0.0080 -0.6787 3.7496 -3.4468 0.3988 2.3981 -0.8213 -5.0176 0.3990 2.3980
0.0080 -0.6969 3.7555 -3.4532 0.3988 2.3981 -0.8031 -5.0239 0.3990 2.3980
0.0080 -0.7151 3.7615 -3.4595 0.3988 2.3981 -0.7849 -5.0303 0.3990 2.3980
0.0080 -0.7333 3.7676 -3.4658 0.3988 2.3981 -0.7667 -5.0366 0.3990 2.3980
0.0080 -0.7515 3.7738 -3.4721 0.3988 2.3981 -0.7485 -5.0429 0.3990 2.3980
0.0080 -0.7696 3.7802 -3.4784 0.3988 2.3981 -0.7304 -5.0492 0.3990 2.3980
0.0080 -0.7876 3.7866 -3.4847 0.3988 2.3981 -0.7124 -5.0555 0.3990 2.3980
0.0070 -0.8034 3.7924 -3.4903 0.3988 2.3981 -0.6966 -5.0611 0.3990 2.3980
0.0070 -0.8192 3.7982 -3.4958 0.3988 2.3981 -0.6808 -5.0666 0.3990 2.3980
0.0070 -0.8349 3.8041 -3.5013 0.3988 2.3981 -0.6651 -5.0721 0.3990 2.3980
0.0070 -0.8506 3.8101 -3.5068 0.3988 2.3982 -0.6494 -5.0776 0.3990 2.3980
0.0070 -0.8662 3.8162 -3.5124 0.3988 2.3982 -0.6338 -5.0832 0.3990 2.3980
0.0070 -0.8818 3.8223 -3.5179 0.3988 2.3982 -0.6182 -5.0887 0.3990 2.3980
0.0120 -0.9085 3.8332 -3.5274 0.3988 2.3982 -0.5915 -5.0982 0.3990 2.3980
0.0100 -0.9306 3.8424 -3.5353 0.3988 2.3982 -0.5694 -5.1061 0.3990 2.3980
0.0070 -0.9461 3.8489 -3.5408 0.3988 2.3982 -0.5539 -5.1116 0.3990 2.3980
0.0070 -0.9615 3.8555 -3.5463 0.3988 2.3982 -0.5385 -5.1171 0.3990 2.3980
0.0070 -0.9769 3.8622 -3.5518 0.3988 2.3982 -0.5231 -5.1226 0.3990 2.3980
0.0070 -0.9923 3.8690 -3.5574 0.3988 2.3982 -0.5077 -5.1282 0.3990 2.3980
0.0070 -1.0076 3.8759 -3.5629 0.3988 2.3982 -0.4924 -5.1337 0.3990 2.3980
0.0070 -1.0229 3.8828 -3.5684 0.3988 2.3982 -0.4771 -5.1392 0.3990 2.3980
0.0070 -1.0381 3.8898 -3.5740 0.3988 2.3982 -0.4619 -5.1448 0.3990 2.3980
0.0070 -1.0533 3.8970 -3.5795 0.3988 2.3982 -0.4467 -5.1503 0.3990 2.3980
0.0070 -1.0685 3.9042 -3.5850 0.3988 2.3982 -0.4315 -5.1558 0.3990 2.3980
0.0070 -1.0836 3.9114 -3.5905 0.3988 2.3983 -0.4164 -5.1613 0.3990 2.3980
0.0070 -1.0987 3.9188 -3.5961 0.3988 2.3983 -0.4013 -5.1669 0.3990 2.3980
0.0070 -1.1137 3.9263 -3.6016 0.3988 2.3983 -0.3863 -5.1724 0.3990 2.3980
0.0070 -1.1287 3.9338 -3.6071 0.3988 2.3983 -0.3713 -5.1779 0.3990 2.3980
0.0070 -1.1437 3.9414 -3.6126 0.3988 2.3983 -0.3563 -5.1834 0.3990 2.3980
0.0070 -1.1586 3.9491 -3.6182 0.3988 2.3983 -0.3414 -5.1890 0.3990 2.3980
0.0070 -1.1735 3.9569 -3.6237 0.3988 2.3983 -0.3265 -5.1945 0.3990 2.3980
0.0080 -1.1904 3.9659 -3.6300 0.3988 2.3983 -0.3096 -5.2008 0.3990 2.3980
0.0080 -1.2073 3.9750 -3.6363 0.3988 2.3983 -0.2927 -5.2071 0.3990 2.3980
0.0080 -1.2242 3.9842 -3.6427 0.3988 2.3983 -0.2758 -5.2134 0.3990 2.3980
0.0080 -1.2409 3.9936 -3.6490 0.3988 2.3983 -0.2591 -5.2198 0.3990 2.3980
0.0070 -1.2556 4.0018 -3.6545 0.3988 2.3983 -0.2444 -5.2253 0.3990 2.3980
0.0070 -1.2701 4.0101 -3.6600 0.3988 2.3983 -0.2299 -5.2308 0.3990 2.3980
0.0080 -1.2867 4.0197 -3.6663 0.3988 2.3983 -0.2133 -5.2371 0.3990 2.3980
0.0080 -1.3033 4.0294 -3.6727 0.3988 2.3984 -0.1967 -5.2435 0.3990 2.3980
0.0080 -1.3198 4.0393 -3.6790 0.3988 2.3984 -0.1802 -5.2498 0.3990 2.3980
0.0080 -1.3362 4.0492 -3.6853 0.3988 2.3984 -0.1638 -5.2561 0.3990 2.3980
0.0080 -1.3525 4.0592 -3.6916 0.3988 2.3984 -0.1475 -5.2624 0.3990 2.3980
0.0080 -1.3688 4.0694 -3.6979 0.3988 2.3984 -0.1312 -5.2687 0.3990 2.3980
0.0080 -1.3851 4.0796 -3.7042 0.3988 2.3984 -0.1149 -5.2750 0.3990 2.3980
0.0080 -1.4012 4.0899 -3.7106 0.3988 2.3984 -0.0988 -5.2814 0.3990 2.3980
0.0080 -1.4173 4.1004 -3.7169 0.3988 2.3984 -0.0827 -5.2877 0.3990 2.3980
0.0080 -1.4334 4.1109 -3.7232 0.3988 2.3984 -0.0666 -5.2940 0.3990 2.3980
0.0080 -1.4493 4.1215 -3.7295 0.3988 2.3984 -0.0507 -5.3003 0.3990 2.3980
0.0080 -1.4652 4.1323 -3.7358 0.3988 2.3984 -0.0348 -5.3066 0.3990 2.3980
0.0080 -1.4811 4.1431 -3.7421 0.3988 2.3984 -0.0189 -5.3129 0.3990 2.3980
0.0080 -1.4968 4.1541 -3.7485 0.3988 2.3984 -0.0032 -5.3193 0.3990 2.3980
0.0080 -1.5125 4.1651 -3.7548 0.3988 2.3985 0.0125 -5.3256 0.3990 2.3980
0.0080 -1.5281 4.1763 -3.7611 0.3988 2.3985 0.0281 -5.3319 0.3990 2.3980
0.0080 -1.5437 4.1875 -3.7674 0.3988 2.3985 0.0437 -5.3382 0.3990 2.3980
0.0080 -1.5592 4.1988 -3.7737 0.3988 2.3985 0.0592 -5.3445 0.3990 2.3980
0.0080 -1.5746 4.2103 -3.7801 0.3988 2.3985 0.0746 -5.3508 0.3990 2.3980
0.0080 -1.5899 4.2218 -3.7864 0.3988 2.3985 0.0899 -5.3572 0.3990 2.3980
0.0080 -1.6052 4.2334 -3.7927 0.3988 2.3985 0.1052 -5.3635 0.3990 2.3980
0.0080 -1.6204 4.2452 -3.7990 0.3988 2.3985 0.1204 -5.3698 0.3990 2.3980
0.0080 -1.6355 4.2570 -3.8053 0.3988 2.3985 0.1355 -5.3761 0.3990 2.3980
0.0080 -1.6505 4.2689 -3.8116 0.3988 2.3985 0.1505 -5.3824 0.3990 2.3980
0.0080 -1.6655 4.2809 -3.8180 0.3988 2.3985 0.1655 -5.3888 0.3990 2.3980
0.0080 -1.6804 4.2930 -3.8243 0.3988 2.3985 0.1804 -5.3951 0.3990 2.3980
0.0080 -1.6952 4.3052 -3.8306 0.3988 2.3985 0.1952 -5.4014 0.3990 2.3980
0.0080 -1.7099 4.3175 -3.8369 0.3988 2.3985 0.2099 -5.4077 0.3990 2.3980
0.0080 -1.7246 4.3299 -3.8432 0.3988 2.3985 0.2246 -5.4140 0.3990 2.3980
0.0080 -1.7391 4.3424 -3.8495 0.3988 2.3986 0.2391 -5.4203 0.3990 2.3980
0.0080 -1.7536 4.3549 -3.8559 0.3988 2.3986 0.2536 -5.4267 0.3990 2.3980
0.0080 -1.7681 4.3676 -3.8622 0.3988 2.3986 0.2681 -5.4330 0.3990 2.3980
0.0080 -1.7824 4.3803 -3.8685 0.3988 2.3986 0.2824 -5.4393 0.3990 2.3980
0.0080 -1.7967 4.3932 -3.8748 0.3988 2.3986 0.2967 -5.4456 0.3990 2.3980
0.0080 -1.8108 4.4061 -3.8811 0.3988 2.3986 0.3108 -5.4519 0.3990 2.3980
0.0080 -1.8249 4.4191 -3.8875 0.3988 2.3986 0.3249 -5.4582 0.3990 2.3980
0.0080 -1.8389 4.4323 -3.8938 0.3988 2.3986 0.3389 -5.4646 0.3990 2.3980
0.0080 -1.8529 4.4455 -3.9001 0.3988 2.3986 0.3529 -5.4709 0.3990 2.3980
0.0080 -1.8667 4.4587 -3.9064 0.3988 2.3986 0.3667 -5.4772 0.3990 2.3980
0.0080 -1.8805 4.4721 -3.9127 0.3988 2.3986 0.3805 -5.4835 0.3990 2.3980
0.0080 -1.8941 4.4856 -3.9190 0.3988 2.3986 0.3941 -5.4898 0.3990 2.3980
0.0080 -1.9077 4.4991 -3.9254 0.3988 2.3986 0.4077 -5.4962 0.3990 2.3980
0.0080 -1.9212 4.5128 -3.9317 0.3988 2.3986 0.4212 -5.5025 0.3990 2.3980
0.0080 -1.9347 4.5265 -3.9380 0.3988 2.3986 0.4347 -5.5088 0.3990 2.3980
0.0080 -1.9480 4.5403 -3.9443 0.3988 2.3986 0.4480 -5.5151 0.3990 2.3980
0.0080 -1.9612 4.5542 -3.9506 0.3988 2.3986 0.4612 -5.5214 0.3990 2.3980
0.0080 -1.9744 4.5681 -3.9569 0.3988 2.3986 0.4744 -5.5277 0.3990 2.3980
0.0080 -1.9875 4.5822 -3.9633 0.3988 2.3987 0.4875 -5.5341 0.3990 2.3980
0.0080 -2.0004 4.5963 -3.9696 0.3988 2.3987 0.5004 -5.5404 0.3990 2.3980
0.0080 -2.0133 4.6105 -3.9759 0.3988 2.3987 0.5133 -5.5467 0.3990 2.3980
0.0080 -2.0261 4.6248 -3.9822 0.3988 2.3987 0.5261 -5.5530 0.3990 2.3980
0.0080 -2.0388 4.6392 -3.9885 0.3988 2.3987 0.5388 -5.5593 0.3990 2.3980
0.0080 -2.0515 4.6537 -3.9949 0.3988 2.3987 0.5515 -5.5657 0.3990 2.3980
0.0080 -2.0640 4.6682 -4.0012 0.3988 2.3987 0.5640 -5.5720 0.3990 2.3980
0.0080 -2.0764 4.6828 -4.0075 0.3988 2.3987 0.5764 -5.5783 0.3990 2.3980
0.0080 -2.0888 4.6975 -4.0138 0.3988 2.3987 0.5888 -5.5846 0.3990 2.3980
0.0080 -2.1010 4.7123 -4.0201 0.3988 2.3987 0.6010 -5.5909 0.3990 2.3980
0.0080 -2.1132 4.7271 -4.0264 0.3988 2.3987 0.6132 -5.5972 0.3990 2.3980
0.0080 -2.1252 4.7421 -4.0328 0.3988 2.3987 0.6252 -5.6036 0.3990 2.3980
0.0080 -2.1372 4.7571 -4.0391 0.3988 2.3987 0.6372 -5.6099 0.3990 2.3980
0.0080 -2.1491 4.7721 -4.0454 0.3988 2.3987 0.6491 -5.6162 0.3990 2.3980
0.0080 -2.1608 4.7873 -4.0517 0.3988 2.3987 0.6608 -5.6225 0.3990 2.3980
0.0080 -2.1725 4.8025 -4.0580 0.3988 2.3987 0.6725 -5.6288 0.3990 2.3980
0.0080 -2.1841 4.8178 -4.0644 0.3988 2.3987 0.6841 -5.6351 0.3990 2.3980
0.0080 -2.1956 4.8332 -4.0707 0.3988 2.3987 0.6956 -5.6415 0.3990 2.3980
0.0080 -2.2070 4.8486 -4.0770 0.3988 2.3987 0.7070 -5.6478 0.3990 2.3980
0.0080 -2.2183 4.8641 -4.0833 0.3988 2.3987 0.7183 -5.6541 0.3990 2.3980
0.0080 -2.2295 4.8797 -4.0896 0.3988 2.3987 0.7295 -5.6604 0.3990 2.3980
0.0080 -2.2406 4.8954 -4.0959 0.3988 2.3987 0.7406 -5.6667 0.3990 2.3980
0.0080 -2.2515 4.9111 -4.1023 0.3988 2.3987 0.7515 -5.6731 0.3990 2.3980
0.0080 -2.2624 4.9269 -4.1086 0.3988 2.3987 0.7624 -5.6794 0.3990 2.3980
0.0080 -2.2732 4.9428 -4.1149 0.3988 2.3987 0.7732 -5.6857 0.3990 2.3980
0.0080 -2.2839 4.9587 -4.1212 0.3988 2.3987 0.7839 -5.6920 0.3990 2.3980
0.0080 -2.2945 4.9747 -4.1275 0.3988 2.3987 0.7945 -5.6983 0.3990 2.3980
0.0080 -2.3050 4.9908 -4.1339 0.3988 2.3987 0.8050 -5.7046 0.3990 2.3980
0.0080 -2.3154 5.0069 -4.1402 0.3988 2.3987 0.8154 -5.7110 0.3990 2.3980
0.0080 -2.3257 5.0231 -4.1465 0.3988 2.3987 0.8257 -5.7173 0.3990 2.3980
0.0080 -2.3359 5.0394 -4.1528 0.3988 2.3987 0.8359 -5.7236 0.3990 2.3980
0.0080 -2.3460 5.0557 -4.1591 0.3988 2.3987 0.8460 -5.7299 0.3990 2.3980
0.0080 -2.3560 5.0721 -4.1654 0.3988 2.3988 0.8560 -5.7362 0.3990 2.3980
0.0080 -2.3658 5.0885 -4.1718 0.3988 2.3988 0.8658 -5.7426 0.3990 2.3980
0.0080 -2.3756 5.1051 -4.1781 0.3988 2.3988 0.8756 -5.7489 0.3990 2.3980
0.0080 -2.3853 5.1216 -4.1844 0.3988 2.3988 0.8853 -5.7552 0.3990 2.3980
0.0080 -2.3948 5.1383 -4.1907 0.3988 2.3988 0.8948 -5.7615 0.3990 2.3980
0.0080 -2.4043 5.1550 -4.1970 0.3988 2.3988 0.9043 -5.7678 0.3990 2.3980
0.0080 -2.4136 5.1717 -4.2034 0.3988 2.3988 0.9136 -5.7741 0.3990 2.3980
0.0080 -2.4229 5.1885 -4.2097 0.3988 2.3988 0.9229 -5.7805 0.3990 2.3980
0.0080 -2.4320 5.2054 -4.2160 0.3988 2.3988 0.9320 -5.7868 0.3990 2.3980
0.0080 -2.4411 5.2223 -4.2223 0.3988 2.3988 0.9411 -5.7931 0.3990 2.3980
0.0080 -2.4500 5.2393 -4.2286 0.3988 2.3988 0.9500 -5.7994 0.3990 2.3980
0.0070 -2.4577 5.2542 -4.2342 0.3988 2.3988 0.9577 -5.8049 0.3990 2.3980
0.0080 -2.4664 5.2713 -4.2405 0.3988 2.3988 0.9664 -5.8113 0.3990 2.3980
0.0080 -2.4751 5.2885 -4.2468 0.3988 2.3988 0.9751 -5.8176 0.3990 2.3980
0.0080 -2.4836 5.3057 -4.2531 0.3988 2.3988 0.9836 -5.8239 0.3990 2.3980
0.0070 -2.4909 5.3208 -4.2586 0.3988 2.3988 0.9909 -5.8294 0.3990 2.3980
0.0080 -2.4992 5.3381 -4.2650 0.3988 2.3988 0.9992 -5.8357 0.3990 2.3980
0.0080 -2.5074 5.3554 -4.2713 0.3988 2.3988 1.0074 -5.8421 0.3990 2.3980
0.0080 -2.5155 5.3728 -4.2776 0.3988 2.3988 1.0155 -5.8484 0.3990 2.3980
0.0080 -2.5235 5.3903 -4.2839 0.3988 2.3988 1.0235 -5.8547 0.3990 2.3980
0.0080 -2.5313 5.4078 -4.2902 0.3988 2.3988 1.0313 -5.8610 0.3990 2.3980
0.0070 -2.5381 5.4232 -4.2958 0.3988 2.3988 1.0381 -5.8665 0.3990 2.3980
0.0080 -2.5458 5.4407 -4.3021 0.3988 2.3988 1.0458 -5.8729 0.3990 2.3980
0.0080 -2.5533 5.4584 -4.3084 0.3988 2.3988 1.0533 -5.8792 0.3990 2.3980
0.0080 -2.5608 5.4761 -4.3147 0.3988 2.3988 1.0608 -5.8855 0.3990 2.3980
0.0080 -2.5681 5.4938 -4.3210 0.3988 2.3988 1.0681 -5.8918 0.3990 2.3980
0.0080 -2.5753 5.5116 -4.3273 0.3988 2.3988 1.0753 -5.8981 0.3990 2.3980
0.0080 -2.5824 5.5294 -4.3337 0.3988 2.3988 1.0824 -5.9045 0.3990 2.3980
0.0080 -2.5894 5.5473 -4.3400 0.3988 2.3988 1.0894 -5.9108 0.3990 2.3980
0.0080 -2.5962 5.5652 -4.3463 0.3988 2.3988 1.0962 -5.9171 0.3990 2.3980
0.0080 -2.6030 5.5832 -4.3526 0.3988 2.3988 1.1030 -5.9234 0.3990 2.3980
0.0080 -2.6096 5.6012 -4.3589 0.3988 2.3988 1.1096 -5.9297 0.3990 2.3980
0.0080 -2.6162 5.6192 -4.3653 0.3988 2.3988 1.1162 -5.9360 0.3990 2.3980
0.0080 -2.6226 5.6373 -4.3716 0.3988 2.3988 1.1226 -5.9424 0.3990 2.3980
0.0100 -2.6304 5.6600 -4.3795 0.3988 2.3988 1.1304 -5.9503 0.3990 2.3980
0.0080 -2.6366 5.6782 -4.3858 0.3988 2.3988 1.1366 -5.9566 0.3990 2.3980
0.0070 -2.6419 5.6941 -4.3913 0.3988 2.3988 1.1419 -5.9621 0.3990 2.3980
0.0070 -2.6471 5.7101 -4.3968 0.3988 2.3988 1.1471 -5.9676 0.3990 2.3980
0.0070 -2.6522 5.7261 -4.4024 0.3988 2.3988 1.1522 -5.9732 0.3990 2.3980
0.0070 -2.6572 5.7421 -4.4079 0.3988 2.3987 1.1572 -5.9787 0.3990 2.3980
0.0110 -2.6649 5.7673 -4.4166 0.3988 2.3987 1.1649 -5.9874 0.3990 2.3980
0.0070 -2.6697 5.7834 -4.4221 0.3988 2.3987 1.1697 -5.9929 0.3990 2.3980
0.0070 -2.6745 5.7995 -4.4276 0.3988 2.3987 1.1745 -5.9984 0.3990 2.3980
0.0070 -2.6791 5.8157 -4.4332 0.3988 2.3987 1.1791 -6.0040 0.3990 2.3980
0.0070 -2.6836 5.8318 -4.4387 0.3988 2.3987 1.1836 -6.0095 0.3990 2.3980
0.0070 -2.6881 5.8480 -4.4442 0.3988 2.3987 1.1881 -6.0150 0.3990 2.3980
0.0070 -2.6924 5.8642 -4.4498 0.3988 2.3987 1.1924 -6.0206 0.3990 2.3980
0.0070 -2.6967 5.8805 -4.4553 0.3988 2.3987 1.1967 -6.0261 0.3990 2.3980
0.0070 -2.7009 5.8967 -4.4608 0.3988 2.3987 1.2009 -6.0316 0.3990 2.3980
0.0070 -2.7050 5.9130 -4.4663 0.3988 2.3987 1.2050 -6.0371 0.3990 2.3980
0.0070 -2.7090 5.9293 -4.4719 0.3988 2.3987 1.2090 -6.0427 0.3990 2.3980
0.0070 -2.7129 5.9457 -4.4774 0.3988 2.3987 1.2129 -6.0482 0.3990 2.3980
0.0070 -2.7167 5.9620 -4.4829 0.3988 2.3987 1.2167 -6.0537 0.3990 2.3980
0.0070 -2.7204 5.9784 -4.4885 0.3988 2.3987 1.2204 -6.0593 0.3990 2.3980
0.0070 -2.7241 5.9948 -4.4940 0.3988 2.3987 1.2241 -6.0648 0.3990 2.3980
0.0070 -2.7276 6.0112 -4.4995 0.3988 2.3987 1.2276 -6.0703 0.3990 2.3980
0.0070 -2.7311 6.0276 -4.5050 0.3988 2.3987 1.2311 -6.0758 0.3990 2.3980
0.0080 -2.7349 6.0464 -4.5114 0.3988 2.3987 1.2349 -6.0822 0.3990 2.3980
0.0080 -2.7386 6.0653 -4.5177 0.3988 2.3987 1.2386 -6.0885 0.3990 2.3980
0.0080 -2.7422 6.0841 -4.5240 0.3988 2.3987 1.2422 -6.0948 0.3990 2.3980
0.0080 -2.7457 6.1030 -4.5303 0.3988 2.3987 1.2457 -6.1011 0.3990 2.3980
0.0080 -2.7490 6.1219 -4.5366 0.3988 2.3987 1.2490 -6.1074 0.3990 2.3980
0.0080 -2.7523 6.1408 -4.5430 0.3988 2.3987 1.2523 -6.1137 0.3990 2.3980
0.0080 -2.7554 6.1597 -4.5493 0.3988 2.3987 1.2554 -6.1201 0.3990 2.3980
0.0080 -2.7584 6.1787 -4.5556 0.3988 2.3987 1.2584 -6.1264 0.3990 2.3980
0.0080 -2.7613 6.1976 -4.5619 0.3988 2.3987 1.2613 -6.1327 0.3990 2.3980
0.0080 -2.7640 6.2166 -4.5682 0.3988 2.3987 1.2640 -6.1390 0.3990 2.3980
0.0080 -2.7667 6.2356 -4.5745 0.3988 2.3987 1.2667 -6.1453 0.3990 2.3980
0.0080 -2.7692 6.2547 -4.5809 0.3988 2.3987 1.2692 -6.1517 0.3990 2.3980
0.0080 -2.7716 6.2737 -4.5872 0.3988 2.3987 1.2716 -6.1580 0.3990 2.3980
0.0080 -2.7738 6.2928 -4.5935 0.3988 2.3987 1.2738 -6.1643 0.3990 2.3980
0.0080 -2.7760 6.3118 -4.5998 0.3988 2.3987 1.2760 -6.1706 0.3990 2.3980
0.0080 -2.7780 6.3309 -4.6061 0.3988 2.3987 1.2780 -6.1769 0.3990 2.3980
0.0080 -2.7800 6.3500 -4.6124 0.3988 2.3987 1.2800 -6.1832 0.3990 2.3980
0.0080 -2.7817 6.3691 -4.6188 0.3988 2.3987 1.2817 -6.1896 0.3990 2.3980
0.0080 -2.7834 6.3882 -4.6251 0.3988 2.3987 1.2834 -6.1959 0.3990 2.3980
0.0080 -2.7850 6.4074 -4.6314 0.3988 2.3987 1.2850 -6.2022 0.3990 2.3980
0.0080 -2.7864 6.4265 -4.6377 0.3988 2.3987 1.2864 -6.2085 0.3990 2.3980
0.0080 -2.7877 6.4456 -4.6440 0.3988 2.3987 1.2877 -6.2148 0.3990 2.3980
0.0080 -2.7889 6.4648 -4.6504 0.3988 2.3987 1.2889 -6.2212 0.3990 2.3980
0.0080 -2.7900 6.4839 -4.6567 0.3988 2.3987 1.2900 -6.2275 0.3990 2.3980
