dt x z theta new_xc de new_d_theta phi_t v_m phi_m phi_d
newcycle
0.0250 0.0012 0.4836 1.5676 -0.7845 -0.2018 0.0190 -0.0234 1.0400 -0.0310 0.0000
0.0230 0.0012 0.5075 1.5682 -0.7840 -0.1984 0.0195 -0.0204 1.0410 -0.0310 0.0000
0.0230 0.0013 0.5315 1.5687 -0.7836 -0.1953 0.0201 -0.0176 1.0410 -0.0300 0.0000
0.0240 0.0013 0.5564 1.5693 -0.7830 -0.1922 0.0206 -0.0149 1.0410 -0.0280 0.0000
newcycle
0.0260 0.0001 0.3329 1.5736 -0.7963 -0.1742 0.0275 0.0120 1.0410 -0.0270 0.0000
0.0230 -0.0000 0.3569 1.5740 -0.7956 -0.1708 0.0279 0.0149 1.0410 -0.0210 0.0000
0.0250 -0.0001 0.3829 1.5744 -0.7949 -0.1684 0.0283 0.0169 1.0410 -0.0210 0.0000
0.0230 -0.0002 0.4068 1.5747 -0.7942 -0.1657 0.0286 0.0192 1.0410 -0.0150 0.0000
0.0230 -0.0003 0.4308 1.5748 -0.7935 -0.1637 0.0287 0.0207 1.0410 -0.0030 0.0000
0.0230 -0.0004 0.4547 1.5746 -0.7928 -0.1627 0.0285 0.0212 1.0410 0.0110 0.0000
0.0240 -0.0005 0.4797 1.5742 -0.7921 -0.1630 0.0281 0.0205 1.0420 0.0170 0.0000
0.0230 -0.0005 0.5037 1.5739 -0.7915 -0.1638 0.0278 0.0192 1.0420 0.0190 0.0000
0.0240 -0.0006 0.5287 1.5735 -0.7908 -0.1648 0.0274 0.0177 1.0420 0.0190 0.0000
0.0250 -0.0007 0.5547 1.5730 -0.7901 -0.1658 0.0269 0.0162 1.0420 0.0240 0.0000
0.0250 -0.0007 0.5808 1.5725 -0.7894 -0.1674 0.0264 0.0142 1.0420 0.0240 0.0000
newcycle
0.0580 -0.0001 0.3166 1.5691 -0.7762 -0.1903 0.0181 -0.0172 1.0420 0.0230 -0.0000
0.0240 -0.0000 0.3416 1.5690 -0.7758 -0.1942 0.0180 -0.0218 1.0420 0.0040 -0.0000
0.0240 -0.0000 0.3667 1.5692 -0.7753 -0.1941 0.0182 -0.0220 1.0420 -0.0100 -0.0000
0.0320 0.0000 0.4000 1.5697 -0.7747 -0.1927 0.0187 -0.0210 1.0430 -0.0200 -0.0000
0.0250 0.0000 0.4261 1.5703 -0.7742 -0.1897 0.0192 -0.0184 1.0430 -0.0250 -0.0000
0.0230 0.0000 0.4501 1.5707 -0.7737 -0.1869 0.0197 -0.0159 1.0430 -0.0260 -0.0000
0.0270 0.0000 0.4783 1.5713 -0.7731 -0.1841 0.0203 -0.0135 1.0430 -0.0270 -0.0000
newcycle
0.0440 0.0001 0.2679 1.5724 -0.7714 -0.1711 0.0232 -0.0014 1.0430 -0.0270 0.0000
0.0270 0.0000 0.2961 1.5728 -0.7707 -0.1656 0.0237 0.0035 1.0430 -0.0200 0.0000
0.0250 -0.0000 0.3222 1.5732 -0.7701 -0.1629 0.0240 0.0058 1.0430 -0.0160 0.0000
0.0280 -0.0001 0.3514 1.5734 -0.7694 -0.1608 0.0242 0.0075 1.0430 -0.0110 0.0000
0.0290 -0.0002 0.3816 1.5735 -0.7686 -0.1589 0.0244 0.0089 1.0430 -0.0060 0.0000
0.0250 -0.0003 0.4077 1.5736 -0.7680 -0.1575 0.0244 0.0098 1.0430 -0.0030 0.0000
0.0250 -0.0003 0.4338 1.5736 -0.7673 -0.1566 0.0244 0.0103 1.0430 0.0020 0.0000
0.0250 -0.0004 0.4599 1.5735 -0.7667 -0.1562 0.0243 0.0104 1.0430 0.0050 0.0000
0.0240 -0.0005 0.4849 1.5733 -0.7661 -0.1560 0.0241 0.0101 1.0430 0.0080 0.0000
0.0330 -0.0005 0.5193 1.5731 -0.7653 -0.1561 0.0239 0.0096 1.0430 0.0090 0.0000
newcycle
0.0580 -0.0006 0.3619 1.5722 -0.7726 -0.1692 0.0225 0.0015 1.0430 0.0100 0.0000
0.0230 -0.0007 0.3859 1.5720 -0.7720 -0.1701 0.0224 -0.0002 1.0430 0.0090 0.0000
0.0300 -0.0007 0.4172 1.5719 -0.7713 -0.1703 0.0222 -0.0008 1.0430 0.0070 0.0000
0.0230 -0.0007 0.4412 1.5718 -0.7708 -0.1704 0.0221 -0.0013 1.0430 0.0050 0.0000
0.0240 -0.0007 0.4662 1.5717 -0.7703 -0.1703 0.0220 -0.0016 1.0430 0.0030 0.0000
0.0230 -0.0008 0.4902 1.5716 -0.7697 -0.1700 0.0220 -0.0017 1.0430 0.0030 0.0000
0.0230 -0.0008 0.5142 1.5716 -0.7692 -0.1697 0.0220 -0.0018 1.0430 0.0000 0.0000
newcycle
0.0250 0.0002 0.2534 1.5697 -0.7685 -0.1297 0.0306 0.0391 1.0430 -0.0010 0.0000
0.0300 0.0002 0.2847 1.5698 -0.7675 -0.1288 0.0306 0.0395 1.0430 -0.0010 0.0000
0.0240 0.0003 0.3098 1.5695 -0.7667 -0.1277 0.0304 0.0400 1.0430 0.0140 0.0000
0.0340 0.0003 0.3452 1.5689 -0.7657 -0.1282 0.0297 0.0389 1.0430 0.0220 0.0000
0.0280 0.0004 0.3744 1.5682 -0.7648 -0.1300 0.0291 0.0364 1.0430 0.0280 0.0000
0.0250 0.0005 0.4005 1.5676 -0.7641 -0.1320 0.0284 0.0336 1.0430 0.0330 0.0000
0.0230 0.0006 0.4245 1.5669 -0.7634 -0.1344 0.0277 0.0307 1.0430 0.0370 0.0000
0.0230 0.0007 0.4485 1.5662 -0.7628 -0.1369 0.0270 0.0276 1.0430 0.0380 0.0000
0.0250 0.0008 0.4746 1.5654 -0.7621 -0.1396 0.0262 0.0244 1.0430 0.0390 0.0000
0.0230 0.0010 0.4986 1.5647 -0.7615 -0.1425 0.0256 0.0209 1.0430 0.0360 0.0000
0.0260 0.0012 0.5257 1.5639 -0.7608 -0.1450 0.0248 0.0179 1.0430 0.0350 0.0000
newcycle
0.0620 0.0010 0.3442 1.5635 -0.7622 -0.1514 0.0229 0.0128 1.0430 0.0350 0.0000
0.0230 0.0012 0.3682 1.5631 -0.7616 -0.1580 0.0224 0.0050 1.0430 0.0230 0.0000
0.0240 0.0014 0.3932 1.5627 -0.7611 -0.1595 0.0221 0.0032 1.0430 0.0160 0.0000
0.0240 0.0016 0.4182 1.5625 -0.7605 -0.1604 0.0219 0.0019 1.0430 0.0130 0.0000
0.0230 0.0018 0.4422 1.5623 -0.7600 -0.1610 0.0217 0.0009 1.0430 0.0110 0.0000
0.0240 0.0020 0.4673 1.5621 -0.7595 -0.1614 0.0215 0.0001 1.0430 0.0070 0.0000
0.0240 0.0023 0.4923 1.5620 -0.7589 -0.1615 0.0214 -0.0003 1.0420 0.0050 0.0000
0.0270 0.0025 0.5204 1.5620 -0.7583 -0.1614 0.0214 -0.0006 1.0420 0.0020 0.0000
newcycle
0.0440 0.0007 0.2961 1.5674 -0.7667 -0.1498 0.0259 0.0174 1.0420 0.0010 0.0000
0.0240 0.0008 0.3211 1.5673 -0.7661 -0.1488 0.0258 0.0176 1.0420 0.0040 0.0000
0.0260 0.0009 0.3482 1.5672 -0.7654 -0.1485 0.0256 0.0174 1.0420 0.0070 0.0000
0.0240 0.0010 0.3732 1.5670 -0.7648 -0.1485 0.0255 0.0169 1.0420 0.0080 0.0000
0.0240 0.0011 0.3982 1.5669 -0.7641 -0.1486 0.0253 0.0164 1.0420 0.0080 0.0000
0.0230 0.0012 0.4222 1.5666 -0.7635 -0.1488 0.0251 0.0158 1.0420 0.0130 0.0000
0.0350 0.0014 0.4587 1.5662 -0.7626 -0.1493 0.0246 0.0149 1.0420 0.0150 0.0000
0.0260 0.0015 0.4858 1.5658 -0.7620 -0.1504 0.0243 0.0131 1.0420 0.0170 0.0000
newcycle
0.0260 0.0002 0.2657 1.5688 -0.7595 -0.1678 0.0199 -0.0065 1.0420 0.0170 -0.0003
0.0270 0.0002 0.2938 1.5684 -0.7589 -0.1689 0.0195 -0.0081 1.0420 0.0170 -0.0003
0.0250 0.0003 0.3199 1.5682 -0.7584 -0.1701 0.0193 -0.0096 1.0420 0.0100 -0.0003
0.0230 0.0004 0.3439 1.5680 -0.7580 -0.1706 0.0191 -0.0104 1.0420 0.0100 -0.0003
0.0230 0.0004 0.3678 1.5681 -0.7575 -0.1710 0.0192 -0.0112 1.0420 -0.0010 -0.0003
0.0300 0.0005 0.3991 1.5682 -0.7569 -0.1705 0.0192 -0.0110 1.0420 -0.0040 -0.0003
0.0260 0.0006 0.4262 1.5683 -0.7564 -0.1695 0.0194 -0.0103 1.0420 -0.0070 -0.0003
0.0230 0.0006 0.4501 1.5685 -0.7559 -0.1683 0.0195 -0.0095 1.0420 -0.0090 -0.0003
0.0270 0.0007 0.4783 1.5687 -0.7554 -0.1671 0.0198 -0.0086 1.0420 -0.0110 -0.0003
newcycle
0.0280 0.0002 0.2657 1.5708 -0.7703 -0.1790 0.0205 -0.0105 1.0420 -0.0110 -0.0003
0.0300 0.0001 0.2970 1.5711 -0.7696 -0.1773 0.0207 -0.0092 1.0420 -0.0120 -0.0003
0.0250 0.0001 0.3230 1.5713 -0.7691 -0.1753 0.0210 -0.0077 1.0420 -0.0110 -0.0003
0.0310 0.0001 0.3553 1.5716 -0.7684 -0.1738 0.0212 -0.0065 1.0420 -0.0110 -0.0003
0.0260 0.0001 0.3824 1.5718 -0.7678 -0.1718 0.0214 -0.0050 1.0420 -0.0100 -0.0003
0.0230 0.0000 0.4064 1.5720 -0.7673 -0.1703 0.0216 -0.0039 1.0420 -0.0090 -0.0003
0.0270 0.0000 0.4345 1.5722 -0.7667 -0.1690 0.0218 -0.0029 1.0420 -0.0080 -0.0003
0.0240 -0.0000 0.4595 1.5723 -0.7661 -0.1676 0.0219 -0.0020 1.0420 -0.0070 -0.0003
0.0250 -0.0001 0.4856 1.5724 -0.7656 -0.1665 0.0220 -0.0012 1.0420 -0.0050 -0.0003
0.0270 -0.0001 0.5137 1.5725 -0.7650 -0.1655 0.0221 -0.0005 1.0420 -0.0050 -0.0003
newcycle
0.0420 -0.0004 0.3063 1.5728 -0.7649 -0.1798 0.0190 -0.0148 1.0420 -0.0040 -0.0003
0.0260 -0.0004 0.3334 1.5729 -0.7644 -0.1784 0.0192 -0.0139 1.0420 -0.0060 -0.0003
0.0270 -0.0005 0.3616 1.5731 -0.7638 -0.1773 0.0194 -0.0132 1.0420 -0.0090 -0.0003
0.0240 -0.0006 0.3866 1.5733 -0.7633 -0.1758 0.0196 -0.0121 1.0420 -0.0100 -0.0003
0.0270 -0.0006 0.4147 1.5736 -0.7628 -0.1744 0.0198 -0.0110 1.0420 -0.0120 -0.0003
0.0240 -0.0007 0.4397 1.5738 -0.7623 -0.1726 0.0201 -0.0096 1.0420 -0.0120 -0.0003
0.0250 -0.0008 0.4658 1.5741 -0.7617 -0.1711 0.0203 -0.0083 1.0420 -0.0120 -0.0003
0.0250 -0.0009 0.4918 1.5743 -0.7612 -0.1694 0.0206 -0.0070 1.0420 -0.0120 -0.0003
0.0370 -0.0010 0.5304 1.5746 -0.7604 -0.1678 0.0209 -0.0057 1.0420 -0.0110 -0.0003
newcycle
0.0490 -0.0003 0.3189 1.5731 -0.7567 -0.1706 0.0196 -0.0107 1.0420 -0.0100 0.0000
0.0240 -0.0004 0.3439 1.5733 -0.7562 -0.1678 0.0197 -0.0085 1.0420 -0.0100 0.0000
0.0230 -0.0005 0.3678 1.5735 -0.7557 -0.1664 0.0199 -0.0074 1.0420 -0.0100 0.0000
0.0250 -0.0005 0.3939 1.5737 -0.7552 -0.1651 0.0201 -0.0064 1.0420 -0.0090 0.0000
0.0250 -0.0006 0.4199 1.5739 -0.7546 -0.1637 0.0203 -0.0054 1.0420 -0.0090 0.0000
0.0290 -0.0007 0.4501 1.5740 -0.7540 -0.1623 0.0205 -0.0043 1.0420 -0.0080 0.0000
0.0270 -0.0008 0.4783 1.5742 -0.7534 -0.1609 0.0206 -0.0033 1.0420 -0.0070 0.0000
0.0240 -0.0009 0.5033 1.5743 -0.7529 -0.1596 0.0208 -0.0023 1.0420 -0.0060 0.0000
0.0230 -0.0010 0.5273 1.5744 -0.7524 -0.1585 0.0209 -0.0016 1.0420 -0.0060 0.0000
0.0270 -0.0011 0.5554 1.5745 -0.7518 -0.1575 0.0210 -0.0009 1.0420 -0.0040 0.0000
newcycle
0.0440 -0.0004 0.3314 1.5728 -0.7539 -0.1531 0.0225 0.0052 1.0430 -0.0030 0.0000
0.0250 -0.0005 0.3575 1.5728 -0.7533 -0.1516 0.0225 0.0060 1.0430 -0.0020 0.0000
0.0330 -0.0005 0.3919 1.5728 -0.7525 -0.1508 0.0225 0.0064 1.0430 -0.0010 0.0000
0.0240 -0.0006 0.4169 1.5728 -0.7519 -0.1499 0.0225 0.0068 1.0430 0.0010 0.0000
0.0240 -0.0006 0.4420 1.5728 -0.7514 -0.1494 0.0225 0.0070 1.0430 0.0020 0.0000
0.0250 -0.0007 0.4680 1.5727 -0.7508 -0.1491 0.0224 0.0070 1.0430 0.0020 0.0000
0.0250 -0.0007 0.4941 1.5726 -0.7502 -0.1487 0.0223 0.0070 1.0430 0.0050 0.0000
newcycle
0.0490 -0.0000 0.2743 1.5706 -0.7633 -0.1760 0.0192 -0.0116 1.0430 0.0050 0.0000
0.0260 -0.0000 0.3014 1.5705 -0.7628 -0.1759 0.0192 -0.0122 1.0430 0.0030 0.0000
0.0230 -0.0000 0.3254 1.5706 -0.7623 -0.1757 0.0192 -0.0123 1.0430 -0.0030 0.0000
0.0230 -0.0000 0.3494 1.5707 -0.7618 -0.1749 0.0194 -0.0119 1.0430 -0.0070 0.0000
0.0280 -0.0000 0.3786 1.5709 -0.7613 -0.1739 0.0196 -0.0112 1.0430 -0.0090 0.0000
0.0240 -0.0000 0.4036 1.5711 -0.7608 -0.1724 0.0198 -0.0100 1.0430 -0.0100 0.0000
0.0320 -0.0000 0.4370 1.5714 -0.7601 -0.1710 0.0200 -0.0090 1.0430 -0.0110 0.0000
0.0230 -0.0001 0.4610 1.5716 -0.7596 -0.1690 0.0203 -0.0074 1.0430 -0.0120 0.0000
0.0320 -0.0001 0.4944 1.5719 -0.7589 -0.1675 0.0206 -0.0062 1.0430 -0.0110 0.0000
newcycle
0.0330 -0.0001 0.2900 1.5721 -0.7609 -0.1602 0.0226 0.0025 1.0430 -0.0110 0.0000
0.0250 -0.0001 0.3160 1.5723 -0.7603 -0.1580 0.0228 0.0042 1.0430 -0.0080 0.0000
0.0230 -0.0002 0.3400 1.5724 -0.7597 -0.1566 0.0229 0.0052 1.0430 -0.0060 0.0000
0.0230 -0.0002 0.3640 1.5725 -0.7592 -0.1555 0.0230 0.0059 1.0430 -0.0040 0.0000
0.0250 -0.0003 0.3901 1.5725 -0.7586 -0.1546 0.0230 0.0065 1.0420 -0.0020 0.0000
0.0270 -0.0003 0.4182 1.5725 -0.7579 -0.1538 0.0230 0.0070 1.0420 0.0000 0.0000
0.0250 -0.0003 0.4442 1.5725 -0.7573 -0.1531 0.0230 0.0072 1.0420 0.0010 0.0000
0.0300 -0.0004 0.4755 1.5724 -0.7566 -0.1526 0.0229 0.0074 1.0420 0.0030 0.0000
newcycle
0.0400 -0.0002 0.2648 1.5713 -0.7440 -0.1565 0.0193 -0.0048 1.0420 0.0050 0.0003
0.0240 -0.0002 0.2898 1.5712 -0.7435 -0.1564 0.0192 -0.0052 1.0420 0.0050 0.0003
0.0230 -0.0002 0.3137 1.5712 -0.7430 -0.1564 0.0191 -0.0055 1.0420 0.0040 0.0003
0.0240 -0.0002 0.3388 1.5711 -0.7425 -0.1562 0.0191 -0.0056 1.0420 0.0020 0.0003
0.0250 -0.0002 0.3648 1.5711 -0.7420 -0.1559 0.0190 -0.0056 1.0420 0.0020 0.0003
0.0240 -0.0002 0.3898 1.5711 -0.7416 -0.1556 0.0190 -0.0056 1.0420 -0.0000 0.0003
0.0270 -0.0002 0.4179 1.5711 -0.7410 -0.1551 0.0191 -0.0054 1.0420 -0.0020 0.0003
0.0320 -0.0002 0.4513 1.5712 -0.7404 -0.1543 0.0192 -0.0050 1.0420 -0.0020 0.0003
newcycle
0.0450 0.0001 0.2751 1.5707 -0.7552 -0.1679 0.0196 -0.0087 1.0420 -0.0050 0.0003
0.0300 0.0001 0.3063 1.5708 -0.7546 -0.1662 0.0197 -0.0075 1.0420 -0.0050 0.0003
0.0250 0.0001 0.3324 1.5709 -0.7541 -0.1650 0.0199 -0.0068 1.0420 -0.0070 0.0003
0.0250 0.0001 0.3584 1.5711 -0.7536 -0.1638 0.0200 -0.0059 1.0420 -0.0080 0.0003
0.0240 0.0001 0.3835 1.5713 -0.7531 -0.1626 0.0202 -0.0050 1.0420 -0.0080 0.0003
0.0270 0.0000 0.4116 1.5714 -0.7525 -0.1613 0.0204 -0.0041 1.0420 -0.0080 0.0003
0.0240 0.0000 0.4366 1.5716 -0.7520 -0.1600 0.0205 -0.0031 1.0420 -0.0080 0.0003
0.0330 -0.0000 0.4710 1.5718 -0.7513 -0.1587 0.0207 -0.0022 1.0420 -0.0080 0.0003
newcycle
0.0620 -0.0002 0.3074 1.5724 -0.7586 -0.1615 0.0220 0.0001 1.0420 -0.0060 0.0000
0.0240 -0.0003 0.3324 1.5725 -0.7580 -0.1587 0.0221 0.0020 1.0420 -0.0060 0.0000
0.0280 -0.0003 0.3616 1.5725 -0.7574 -0.1576 0.0221 0.0028 1.0420 -0.0010 0.0000
0.0240 -0.0004 0.3866 1.5725 -0.7568 -0.1568 0.0221 0.0031 1.0420 -0.0010 0.0000
0.0250 -0.0004 0.4126 1.5725 -0.7563 -0.1562 0.0221 0.0034 1.0420 -0.0010 0.0000
0.0230 -0.0005 0.4366 1.5725 -0.7557 -0.1555 0.0221 0.0037 1.0420 0.0020 0.0000
0.0360 -0.0005 0.4741 1.5724 -0.7549 -0.1551 0.0220 0.0037 1.0420 0.0030 0.0000
newcycle
0.0430 -0.0001 0.2761 1.5710 -0.7457 -0.1588 0.0192 -0.0061 1.0420 0.0030 0.0000
0.0280 -0.0001 0.3053 1.5710 -0.7452 -0.1584 0.0192 -0.0063 1.0420 0.0010 0.0000
0.0230 -0.0001 0.3293 1.5710 -0.7447 -0.1580 0.0192 -0.0062 1.0420 0.0010 0.0000
0.0240 -0.0001 0.3543 1.5710 -0.7442 -0.1576 0.0192 -0.0062 1.0420 -0.0020 0.0000
0.0310 -0.0001 0.3866 1.5711 -0.7436 -0.1570 0.0193 -0.0058 1.0420 -0.0030 0.0000
0.0240 -0.0001 0.4116 1.5712 -0.7431 -0.1560 0.0194 -0.0053 1.0420 -0.0050 0.0000
0.0230 -0.0001 0.4356 1.5713 -0.7427 -0.1551 0.0195 -0.0046 1.0420 -0.0050 0.0000
0.0270 -0.0002 0.4637 1.5714 -0.7421 -0.1542 0.0196 -0.0040 1.0420 -0.0060 0.0000
0.0270 -0.0002 0.4918 1.5715 -0.7416 -0.1530 0.0197 -0.0032 1.0420 -0.0060 0.0000
newcycle
0.0440 -0.0000 0.3074 1.5715 -0.7329 -0.1510 0.0184 -0.0068 1.0420 -0.0060 0.0000
0.0240 -0.0001 0.3324 1.5716 -0.7324 -0.1492 0.0186 -0.0055 1.0420 -0.0060 0.0000
0.0230 -0.0001 0.3564 1.5717 -0.7320 -0.1482 0.0187 -0.0048 1.0420 -0.0060 0.0000
0.0290 -0.0001 0.3866 1.5718 -0.7314 -0.1472 0.0188 -0.0041 1.0420 -0.0060 0.0000
0.0240 -0.0001 0.4116 1.5719 -0.7309 -0.1460 0.0189 -0.0032 1.0420 -0.0050 0.0000
0.0260 -0.0002 0.4387 1.5720 -0.7304 -0.1451 0.0190 -0.0026 1.0420 -0.0050 0.0000
0.0230 -0.0002 0.4626 1.5721 -0.7300 -0.1441 0.0191 -0.0019 1.0420 -0.0040 0.0000
0.0280 -0.0002 0.4918 1.5722 -0.7294 -0.1433 0.0192 -0.0014 1.0420 -0.0040 0.0000
newcycle
0.0390 -0.0002 0.2699 1.5719 -0.7456 -0.1479 0.0218 0.0049 1.0420 -0.0040 0.0000
0.0240 -0.0002 0.2949 1.5719 -0.7451 -0.1465 0.0218 0.0058 1.0420 -0.0020 0.0000
0.0310 -0.0002 0.3272 1.5720 -0.7444 -0.1457 0.0219 0.0062 1.0420 -0.0010 0.0000
0.0230 -0.0003 0.3512 1.5719 -0.7439 -0.1449 0.0218 0.0066 1.0420 0.0010 0.0000
0.0250 -0.0003 0.3772 1.5719 -0.7433 -0.1445 0.0218 0.0067 1.0420 0.0030 0.0000
0.0330 -0.0003 0.4116 1.5718 -0.7425 -0.1442 0.0217 0.0066 1.0420 0.0040 0.0000
0.0250 -0.0003 0.4376 1.5717 -0.7420 -0.1440 0.0216 0.0063 1.0420 0.0050 0.0000
0.0230 -0.0004 0.4616 1.5716 -0.7415 -0.1439 0.0215 0.0060 1.0420 0.0050 0.0000
0.0280 -0.0004 0.4908 1.5714 -0.7409 -0.1438 0.0213 0.0058 1.0420 0.0060 0.0000
newcycle
0.0390 -0.0000 0.2959 1.5704 -0.7560 -0.1293 0.0278 0.0313 1.0420 0.0060 0.0000
0.0250 0.0000 0.3220 1.5702 -0.7553 -0.1291 0.0277 0.0308 1.0420 0.0080 0.0000
0.0380 0.0000 0.3616 1.5699 -0.7542 -0.1291 0.0273 0.0303 1.0420 0.0110 0.0000
0.0270 0.0001 0.3897 1.5695 -0.7534 -0.1296 0.0270 0.0291 1.0420 0.0160 0.0000
0.0240 0.0001 0.4147 1.5691 -0.7528 -0.1304 0.0266 0.0277 1.0420 0.0200 0.0000
0.0250 0.0002 0.4408 1.5686 -0.7521 -0.1316 0.0261 0.0260 1.0420 0.0240 0.0000
0.0230 0.0002 0.4647 1.5682 -0.7515 -0.1331 0.0256 0.0239 1.0420 0.0240 0.0000
0.0280 0.0003 0.4939 1.5676 -0.7508 -0.1346 0.0250 0.0220 1.0420 0.0270 0.0000
newcycle
0.0400 0.0004 0.2876 1.5669 -0.7583 -0.1587 0.0212 0.0024 1.0420 0.0280 0.0000
0.0230 0.0005 0.3116 1.5664 -0.7578 -0.1620 0.0207 -0.0015 1.0420 0.0250 0.0000
0.0250 0.0007 0.3376 1.5660 -0.7572 -0.1636 0.0203 -0.0035 1.0420 0.0200 0.0000
0.0230 0.0008 0.3616 1.5657 -0.7568 -0.1650 0.0200 -0.0053 1.0420 0.0150 0.0000
0.0260 0.0009 0.3887 1.5655 -0.7562 -0.1658 0.0198 -0.0064 1.0420 0.0100 0.0000
0.0250 0.0011 0.4147 1.5654 -0.7557 -0.1662 0.0197 -0.0072 1.0420 0.0050 0.0000
0.0260 0.0012 0.4418 1.5654 -0.7552 -0.1662 0.0196 -0.0075 1.0420 0.0030 0.0000
0.0250 0.0014 0.4679 1.5654 -0.7547 -0.1659 0.0197 -0.0076 1.0420 -0.0010 0.0000
0.0270 0.0015 0.4960 1.5655 -0.7541 -0.1653 0.0197 -0.0073 1.0420 -0.0040 0.0000
0.0250 0.0016 0.5220 1.5656 -0.7536 -0.1644 0.0199 -0.0067 1.0420 -0.0050 0.0000
newcycle
0.0510 0.0006 0.3293 1.5687 -0.7227 -0.1348 0.0199 0.0032 1.0420 -0.0070 0.0000
0.0250 0.0007 0.3553 1.5689 -0.7222 -0.1321 0.0201 0.0053 1.0420 -0.0070 0.0000
0.0240 0.0007 0.3803 1.5689 -0.7217 -0.1308 0.0202 0.0063 1.0420 -0.0040 0.0000
0.0270 0.0008 0.4085 1.5689 -0.7211 -0.1299 0.0202 0.0070 1.0420 -0.0000 0.0000
0.0240 0.0008 0.4335 1.5689 -0.7206 -0.1292 0.0202 0.0073 1.0420 0.0020 0.0000
0.0250 0.0009 0.4595 1.5688 -0.7201 -0.1287 0.0202 0.0074 1.0420 0.0040 0.0000
0.0240 0.0009 0.4845 1.5687 -0.7196 -0.1284 0.0201 0.0074 1.0420 0.0060 0.0000
0.0250 0.0010 0.5106 1.5685 -0.7191 -0.1284 0.0200 0.0071 1.0420 0.0070 0.0000
0.0290 0.0011 0.5408 1.5684 -0.7185 -0.1284 0.0198 0.0067 1.0420 0.0080 0.0000
newcycle
0.0590 -0.0001 0.3230 1.5704 -0.7118 -0.1383 0.0161 -0.0065 1.0420 0.0080 0.0013
0.0250 -0.0000 0.3491 1.5703 -0.7113 -0.1387 0.0160 -0.0076 1.0420 0.0050 0.0013
0.0240 -0.0000 0.3741 1.5702 -0.7109 -0.1387 0.0160 -0.0078 1.0420 0.0030 0.0013
0.0260 -0.0000 0.4012 1.5703 -0.7105 -0.1384 0.0161 -0.0078 1.0420 -0.0010 0.0013
0.0240 -0.0000 0.4262 1.5703 -0.7101 -0.1378 0.0162 -0.0074 1.0420 -0.0040 0.0013
0.0260 -0.0000 0.4533 1.5705 -0.7097 -0.1369 0.0163 -0.0068 1.0420 -0.0050 0.0013
0.0230 0.0000 0.4772 1.5706 -0.7093 -0.1358 0.0164 -0.0060 1.0420 -0.0060 0.0013
0.0300 0.0000 0.5085 1.5707 -0.7087 -0.1348 0.0166 -0.0052 1.0420 -0.0070 0.0013
newcycle
0.0430 0.0001 0.2886 1.5709 -0.7054 -0.1227 0.0187 0.0053 1.0420 -0.0070 0.0013
0.0240 0.0001 0.3136 1.5710 -0.7049 -0.1206 0.0188 0.0071 1.0420 -0.0060 0.0013
0.0240 0.0001 0.3386 1.5711 -0.7044 -0.1194 0.0189 0.0079 1.0420 -0.0040 0.0013
0.0250 0.0001 0.3647 1.5711 -0.7039 -0.1185 0.0190 0.0086 1.0420 -0.0020 0.0013
0.0230 0.0001 0.3887 1.5711 -0.7035 -0.1177 0.0190 0.0091 1.0420 0.0010 0.0013
0.0260 0.0001 0.4158 1.5710 -0.7030 -0.1172 0.0189 0.0093 1.0420 0.0040 0.0013
0.0280 0.0001 0.4449 1.5709 -0.7024 -0.1169 0.0189 0.0093 1.0420 0.0050 0.0013
0.0230 0.0001 0.4689 1.5707 -0.7020 -0.1168 0.0188 0.0091 1.0420 0.0070 0.0013
0.0240 0.0001 0.4939 1.5706 -0.7015 -0.1168 0.0186 0.0087 1.0420 0.0080 0.0013
0.0300 0.0001 0.5252 1.5704 -0.7009 -0.1170 0.0185 0.0083 1.0420 0.0080 0.0013
newcycle
0.0420 -0.0001 0.3293 1.5704 -0.7171 -0.1372 0.0175 -0.0019 1.0420 0.0090 0.0013
0.0240 -0.0001 0.3543 1.5702 -0.7167 -0.1378 0.0173 -0.0031 1.0420 0.0090 0.0013
0.0240 -0.0000 0.3793 1.5701 -0.7162 -0.1382 0.0172 -0.0038 1.0420 0.0030 0.0013
0.0270 -0.0000 0.4074 1.5701 -0.7158 -0.1381 0.0172 -0.0039 1.0420 0.0000 0.0013
0.0300 -0.0000 0.4387 1.5702 -0.7152 -0.1376 0.0173 -0.0037 1.0420 -0.0010 0.0013
0.0240 0.0000 0.4637 1.5702 -0.7148 -0.1369 0.0173 -0.0034 1.0420 -0.0010 0.0013
0.0230 0.0000 0.4877 1.5703 -0.7144 -0.1364 0.0174 -0.0032 1.0420 -0.0040 0.0013
0.0250 0.0000 0.5137 1.5703 -0.7139 -0.1356 0.0174 -0.0027 1.0420 -0.0040 0.0013
0.0320 0.0000 0.5470 1.5705 -0.7133 -0.1348 0.0175 -0.0021 1.0420 -0.0040 0.0013
newcycle
0.0640 0.0001 0.3282 1.5708 -0.7199 -0.1229 0.0219 0.0140 1.0420 -0.0040 0.0000
0.0230 0.0001 0.3522 1.5707 -0.7194 -0.1205 0.0218 0.0156 1.0420 0.0030 0.0000
0.0310 0.0001 0.3845 1.5704 -0.7187 -0.1202 0.0215 0.0155 1.0420 0.0110 0.0000
0.0240 0.0001 0.4095 1.5702 -0.7182 -0.1208 0.0212 0.0145 1.0420 0.0140 0.0000
